product_category_id;product_category_name                                    ;parent_product_category_id
1630               ;Інтер''єр                                                ;200
1640               ;Одяг та аксесуари                                        ;200
1650               ;Канцелярія та аксесуари                                  ;200
1660               ;Хобі та відпочинок                                       ;200
#
#
1670               ;Дитяче харчування                                        ;210
1680               ;Догляд та гігієна                                        ;210
1690               ;Іграшки та книги                                         ;210
1700               ;Товари для мам                                           ;210
#
#
1710               ;Гігієнічні наповнювачі для туалетів                      ;220
1720               ;Харчування                                               ;220
#
#
1730               ;Печериці свіжі                                           ;230
1740               ;Гливи свіжі                                              ;230
1750               ;Екзотичні гриби свіжі                                    ;230
#
#
1751               ;Зелена цибуля                                            ;240
1760               ;Зелень мікс                                              ;240
1770               ;Кінза                                                    ;240
1780               ;Кріп                                                     ;240
1790               ;М''ята                                                   ;240
1800               ;Петрушка                                                 ;240
1810               ;Селера                                                   ;240
1820               ;Шпинат                                                   ;240
1830               ;Щавель                                                   ;240
#
#
1840               ;Салат свіжий                                             ;250
1850               ;Салати, готові до вживання                               ;250
#
#
1831               ;Баклажан                                                 ;260
1841               ;Кабачок                                                  ;260
1851               ;Капуста                                                  ;260
1860               ;Коренеплоди                                              ;260
1870               ;Огірки                                                   ;260
1880               ;Перець                                                   ;260
1890               ;Помідори                                                 ;260
#
#
1900               ;Банан                                                    ;270
1910               ;Виноград                                                 ;270
1920               ;Груша                                                    ;270
1930               ;Кавун, диня                                              ;270
1940               ;Кісточкові                                               ;270
1950               ;Тропічні фрукти                                          ;270
1960               ;Цитрусові                                                ;270
1970               ;Яблука                                                   ;270
1980               ;Ягоди                                                    ;270
#
#
1990               ;Овочеві закуски, хумуси                                  ;290
2000               ;Овочеві та фруктові соління                              ;290
#
#
2010               ;Горіхи і насіння                                         ;300
2020               ;Сухофрукти і цукати                                      ;300
2030               ;Суміш горіхів і сухофруктів                              ;300
#
#
2040               ;Ковбаса варена                                           ;350
2050               ;Сосиски варені                                           ;350
2060               ;Сардельки варені                                         ;350
2070               ;Шинка варена                                             ;350
#
#
2080               ;Ковбаса варено-копчена                                   ;360
2090               ;Ковбаса напівкопчена                                     ;360
2100               ;Ковбаса сиров''ялена                                     ;360
2110               ;Ковбаса сирокопчена                                      ;360
2120               ;Ковбаски варено-копчені                                  ;360
2130               ;Ковбаски напівкопчені                                    ;360
2140               ;Ковбаски сирокопчені                                     ;360
#
#
2150               ;Балик                                                    ;370
2160               ;Грудинка копчена                                         ;370
2170               ;Курячі копченості                                        ;370
2180               ;Шинка делікатесна                                        ;370
#
#
2190               ;Ковбаса                                                  ;380
2200               ;Паштети                                                  ;380
2210               ;Язик, фуа-гра, інше                                      ;380
#
#
2220               ;Багет                                                    ;480
2230               ;Хліб                                                     ;480
2240               ;Чіабата                                                  ;480
#
#
2250               ;Бісквіти молочні                                         ;590
2260               ;Десерти молочні                                          ;590
2270               ;Закваски                                                 ;590
2280               ;Йогурти                                                  ;590
2290               ;Йогурти дитячі                                           ;590
2300               ;Напої на сироватці                                       ;590
2310               ;Пудинги, желе                                            ;590
2320               ;Глазуровані сирки                                        ;590
#
#
2330               ;Кисломолочні напої                                       ;600
2340               ;Кисломолочні напої дитячі                                ;600
2350               ;Сметана                                                  ;600
#
#
2360               ;Молоко                                                   ;610
2370               ;Молоко дитяче                                            ;610
2380               ;Молоко згущене                                           ;610
2390               ;Вершки                                                   ;610
#
#
2400               ;Сир косломолочний                                        ;620
2410               ;Сирна маса                                               ;620
2420               ;Широкий                                                  ;620
2430               ;Сирок дитячий                                            ;620
#
#
2440               ;Оливкова олія                                            ;750
2450               ;Соняшникова олія                                         ;750
2460               ;Олія інших видів                                         ;750
#
#
2470               ;Булгур                                                   ;770
2480               ;Вівсяна крупа                                            ;770
2490               ;Горох                                                    ;770
2500               ;Гречка                                                   ;770
2510               ;Кіноа                                                    ;770
2520               ;Кукурудзяна крупа                                        ;770
2530               ;Кус-кус                                                  ;770
2540               ;Манка                                                    ;770
2550               ;Нут крупа                                                ;770
2560               ;Перлова крупа                                            ;770
2570               ;Пшенична крупа                                           ;770
